godina;sifra;naziv;iznos_eur;broj_isplata;broj_primatelja;udio_posto
2024;3434;OSTALI NESPOMENUTI FINANCIJSKI RASHODI;89304.90;1597;90;0.01
2024;3812;TEKUĆE DONACIJE U NARAVI;73827.62;216;216;0.00
2024;4264;OSTALA NEMATERIJALNA PROIZVEDENA IMOVINA;45776.41;16;1;0.00
2024;3112;PLAĆE U NARAVI;45760.49;182;4;0.00
2024;4243;MUZEJSKI IZLOŠCI I PREDMETI PRIRODNIH RIJETKOSTI;32327.00;6;6;0.00
2024;3214;OSTALE NAKNADE TROŠKOVA ZAPOSLENIMA;20884.22;67;16;0.00
2024;4252;OSNOVNO STADO;20833.34;10;1;0.00
2024;3426;KAMATE ZA PRIMLJENE ZAJMOVE OD TRGOVAČKIH DRUŠTAVA U JAVNOM SEKTORU;18134.59;1;1;0.00
2024;4242;UMJETNIČKA DJELA (IZLOŽENA U GALERIJAMA, MUZEJIMA I SLIČNO);10796.83;2;1;0.00
2024;5445;OTPLATA GLAVNICE PRIMLJENIH ZAJMOVA OD OSTALIH TUZEMNIH FINANCIJSKIH INSTITUCIJA IZVAN JAVNOG SEKTOR;4017.37;13;1;0.00
2024;4244;OSTALE NESPOMENUTE IZLOŽBENE VRIJEDNOSTI;2000.00;1;1;0.00
2024;4233;PRIJEVOZNA SREDSTVA U POMORSKOM I RIJEČNOM PROMETU;1380.00;4;1;0.00
2024;1291;POTRAŽIVANJA ZA NAKNADE KOJE SE REFUNDIRAJU I PREDUJMOVE;-192795.79;332;1;-0.01
2025;3111;PLAĆE ZA REDOVAN RAD;386749296.56;5665;312;21.07
2025;3512;SUBVENCIJE TRGOVAČKIM DRUŠTVIMA U JAVNOM SEKTORU;229780383.12;113;11;12.52
2025;3232;USLUGE TEKUĆEG I INVESTICIJSKOG ODRŽAVANJA;226761800.85;9845;670;12.35
2025;3811;TEKUĆE DONACIJE U NOVCU;88275807.49;6087;1117;4.81
2025;4511;DODATNA ULAGANJA NA GRAĐEVINSKIM OBJEKTIMA;66844903.85;866;164;3.64
2025;4214;OSTALI GRAĐEVINSKI OBJEKTI;64137014.52;1622;208;3.49
2025;3132;DOPRINOSI ZA OBVEZNO ZDRAVSTVENO OSIGURANJE;60926204.65;5271;309;3.32
2025;9999;NIJE DEFINIRANO;60408891.87;45;2;3.29
2025;4212;POSLOVNI OBJEKTI;49541577.15;656;106;2.70
2025;3239;OSTALE USLUGE;46319009.64;6619;483;2.52
2025;3721;NAKNADE GRAĐANIMA I KUĆANSTVIMA U NOVCU;44259961.38;1000;134;2.41
2025;5443;OTPLATA GLAVNICE PRIMLJENIH KREDITA OD TUZEMNIH KREDITNIH INSTITUCIJA IZVAN JAVNOG SEKTORA;38075567.65;704;47;2.07
2025;3722;NAKNADE GRAĐANIMA I KUĆANSTVIMA U NARAVI;37506352.64;5708;269;2.04
2025;3223;ENERGIJA;37485946.58;15342;341;2.04
2025;3121;OSTALI RASHODI ZA ZAPOSLENE;36054059.14;6372;284;1.96
2025;3235;ZAKUPNINE I NAJAMNINE;32852689.91;2265;156;1.79
2025;3861;KAPITALNE POMOĆI KREDITNIM I OSTALIM FINANCIJSKIM INSTITUCIJAMA TE TRGOVAČKIM DRUŠTVIMA U JAVNOM SEK;25890046.47;69;6;1.41
2025;3661;TEKUĆE POMOĆI PRORAČUNSKIM KORISNICIMA DRUGIH PRORAČUNA;21633149.01;192;33;1.18
2025;3222;MATERIJAL I SIROVINE;21024986.82;2764;295;1.15
2025;4213;CESTE, ŽELJEZNICE I OSTALI PROMETNI OBJEKTI;20753131.43;1550;86;1.13
2025;3234;KOMUNALNE USLUGE;19657778.95;19819;410;1.07
2025;5141;DANI ZAJMOVI TRGOVAČKIM DRUŠTVIMA U JAVNOM SEKTORU;18500000.00;3;2;1.01
2025;3237;INTELEKTUALNE I OSOBNE USLUGE;17383587.34;9150;488;0.95
2025;23111;OBVEZE ZA ZAPOSLENE I PRIVREMENO ZAPOSLENE;15950740.75;720;60;0.87
2025;3299;OSTALI NESPOMENUTI RASHODI POSLOVANJA;12374926.60;4854;609;0.67
2025;27311;OBVEZE ZA NAPLAĆENE TUĐE PRIHODE;11226497.38;1210;192;0.61
2025;4221;UREDSKA OPREMA I NAMJEŠTAJ;10245189.43;713;223;0.56
2025;3238;RAČUNALNE USLUGE;10113735.35;4470;374;0.55
2025;3212;NAKNADE ZA PRIJEVOZ, ZA RAD NA TERENU I ODVOJENI ŽIVOT;9969339.63;5763;326;0.54
2025;5321;DIONICE I UDJELI U GLAVNICI TRGOVAČKIH DRUŠTAVA U JAVNOM SEKTORU;8970000.95;4;4;0.49
2025;3221;UREDSKI MATERIJAL I OSTALI MATERIJALNI RASHODI;6226259.07;4397;383;0.34
2025;3523;SUBVENCIJE POLJOPRIVREDNICIMA I OBRTNICIMA;5860689.15;1668;52;0.32
2025;3231;USLUGE TELEFONA, INTERNETA, POŠTE I PRIJEVOZA;5639131.51;4978;338;0.31
2025;3691;TEKUĆI PRIJENOSI IZMEĐU PRORAČUNSKIH KORISNIKA ISTOG PRORAČUNA;5175027.20;688;174;0.28
2025;4241;KNJIGE;5123433.80;477;214;0.28
2025;3423;KAMATE ZA PRIMLJENE KREDITE I ZAJMOVE OD KREDITNIH I OSTALIH FINANCIJSKIH INSTITUCIJA IZVAN JAVNOG S;4994560.67;715;47;0.27
2025;3693;TEKUĆI PRIJENOSI IZMEĐU PRORAČUNSKIH KORISNIKA ISTOG PRORAČUNA TEMELJEM PRIJENOSA EU SREDSTAVA;4969085.52;965;106;0.27
2025;3631;TEKUĆE POMOĆI UNUTAR OPĆEG PRORAČUNA;4867540.56;9;2;0.27
2025;3291;NAKNADE ZA RAD PREDSTAVNIČKIH I IZVRŠNIH TIJELA, POVJERENSTAVA I SLIČNO;4198417.66;3245;324;0.23
2025;4251;VIŠEGODIŠNJI NASADI;3630670.90;6;2;0.20
2025;4227;UREĐAJI, STROJEVI I OPREMA ZA OSTALE NAMJENE;3386501.30;402;181;0.18
2025;4231;PRIJEVOZNA SREDSTVA U CESTOVNOM PROMETU;3355674.24;57;43;0.18
2025;3236;ZDRAVSTVENE I VETERINARSKE USLUGE;3340437.38;3884;309;0.18
2025;3831;NAKNADE ŠTETA PRAVNIM I FIZIČKIM OSOBAMA;3228564.71;1331;76;0.18
2025;4111;ZEMLJIŠTE;3056230.71;32;9;0.17
2025;3522;SUBVENCIJE TRGOVAČKIM DRUŠTVIMA I ZADRUGAMA IZVAN JAVNOG SEKTORA;2717142.22;335;224;0.15
2025;3292;PREMIJE OSIGURANJA;2652071.08;609;245;0.14
2025;3233;USLUGE PROMIDŽBE I INFORMIRANJA;2636321.43;4978;386;0.14
2025;23955;OBVEZE ZA NAPLAĆENE TUĐE PRIHODE;2617191.31;249;124;0.14
2025;3224;MATERIJAL I DIJELOVI ZA TEKUĆE I INVESTICIJSKO ODRŽAVANJE;2592722.38;3543;330;0.14
2025;4262;ULAGANJA U RAČUNALNE PROGRAME;2540664.05;73;32;0.14
2025;3433;ZATEZNE KAMATE;2539610.59;6757;284;0.14
2025;4224;MEDICINSKA I LABORATORIJSKA OPREMA;2105603.98;120;29;0.11
2025;5413;OTPLATA GLAVNICE PRIMLJENIH ZAJMOVA OD MEĐUNARODNIH ORGANIZACIJA;2105263.16;1;1;0.11
2025;4223;OPREMA ZA ODRŽAVANJE I ZAŠTITU;1720122.79;86;41;0.09
2025;23221;UREDSKI MATERIJAL I OSTALI MATERIJALNI RASHODI;1310694.00;229;62;0.07
2025;3227;SLUŽBENA, RADNA I ZAŠTITNA ODJEĆA I OBUĆA;1197842.92;2282;216;0.07
2025;3225;SITNI INVENTAR I AUTOGUME;1182506.32;2904;301;0.06
2025;3131;DOPRINOSI ZA MIROVINSKO OSIGURANJE ZA STAŽ S POVEĆANIM TRAJANJEM;1155578.97;44;3;0.06
2025;3211;SLUŽBENA PUTOVANJA;1137503.48;4264;340;0.06
2025;3421;KAMATE ZA PRIMLJENE KREDITE I ZAJMOVE OD MEĐUNARODNIH ORGANIZACIJA, INSTITUCIJA I TIJELA EU TE INOZE;1058000.00;2;1;0.06
2025;3213;STRUČNO USAVRŠAVANJE ZAPOSLENIKA;1031060.05;3351;384;0.06
2025;3113;PLAĆE ZA PREKOVREMENI RAD;854473.58;250;17;0.05
2025;3114;PLAĆE ZA POSEBNE UVJETE RADA;705439.81;38;4;0.04
2025;3431;BANKARSKE USLUGE I USLUGE PLATNOG PROMETA;609411.17;3897;336;0.03
2025;4124;OSTALA PRAVA;592482.00;14;4;0.03
2025;3835;OSTALE KAZNE;534190.49;1;1;0.03
2025;3295;PRISTOJBE I NAKNADE;419423.72;3658;135;0.02
2025;3293;REPREZENTACIJA;405428.86;2884;328;0.02
2025;4226;SPORTSKA I GLAZBENA OPREMA;385120.90;29;9;0.02
2025;4225;INSTRUMENTI I UREĐAJI;278919.03;25;7;0.02
2025;4222;KOMUNIKACIJSKA OPREMA;256571.09;29;17;0.01
2025;3813;TEKUĆE DONACIJE IZ EU SREDSTAVA;225831.58;4;1;0.01
2025;4123;LICENCE;225556.66;20;7;0.01
2025;3294;ČLANARINE I NORME;224725.54;2492;232;0.01
2025;3296;TROŠKOVI SUDSKIH POSTUPAKA;215453.41;159;7;0.01
2025;3241;NAKNADE TROŠKOVA OSOBAMA IZVAN RADNOG ODNOSA;206555.26;156;24;0.01
2025;3822;KAPITALNE DONACIJE GRAĐANIMA I KUĆANSTVIMA;188833.79;6;6;0.01
2025;4264;OSTALA NEMATERIJALNA PROIZVEDENA IMOVINA;117872.81;22;2;0.01
2025;3251;RASHODI PO OSNOVI UTROŠKA LIJEKOVA I POTROŠNOG MEDICINSKOG MATERIJALA;101784.35;64;9;0.01
2025;4242;UMJETNIČKA DJELA (IZLOŽENA U GALERIJAMA, MUZEJIMA I SLIČNO);96200.00;5;1;0.01
